Word            Total Cum%    NN    VB    DT  PREP   ADJ    PN    CJ   ADV   QNT   SYM    UH
The             69792    7   169     0 69619     1     3     0     0     0     0     0     0
of              36354   11    73     0     0 36271     0     0     0    10     0     0     0
and             28806   13    28     0     0     0     1     0 28776     1     0     0     0
to              26118   16    15     0     0 26102     0     0     0     1     0     0     0
a               23135   18   131     1 23002     0     0     1     0     0     0     0     0
in              21296   20    16     1     0 21059     0     0     0   220     0     0     0
that            10769   22     2     0  3523  6735     0   487     0    21     0     0     1
is              10182   23     2 10178     1     0     0     1     0     0     0     0     0
was              9967   24     0  9967     0     0     0     0     0     0     0     0     0
he               9806   25     1     0     8     0     0  9797     0     0     0     0     0
for              9471   25    18     0     0  9448     1     0     2     2     0     0     0
it               9071   26     1     0     0     0     0  9070     0     0     0     0     0
with             7264   27     3     0     0  7259     1     0     0     1     0     0     0
as               7238   28     1     0     0  6149     0     0     0  1088     0     0     0
his              6994   29     0     0     0     0     0  6994     0     0     0     0     0
on               6725   29     9     0     0  6457     0     0     0   259     0     0     0
be               6355   30     1  6354     0     0     0     0     0     0     0     0     0
I                5843   30    13     0     0     0     0  5830     0     0     0     0     0
at               5369   31     2     0     0  5365     0     0     0     2     0     0     0
by               5296   31     0     0     0  5266     0     0     0    29     0     0     1
had              5231   32     0  5231     0     0     0     0     0     0     0     0     0
This             5134   33     2     0  5131     0     0     0     0     1     0     0     0
not              4860   33     1     0     0     0     0     0     0  4859     0     0     0
are              4409   33     3  4406     0     0     0     0     0     0     0     0     0
but              4378   34     0     0     0    38     1     0  4338     1     0     0     0
from             4365   34     2     0     0  4362     0     0     0     1     0     0     0
or               4183   35     2     0     0     0     0     0  4181     0     0     0     0
have             3973   35     1  3972     0     0     0     0     0     0     0     0     0
they             3759   35     1     0     0     0     0  3758     0     0     0     0     0
an               3745   36     3     0  3732     0     1     0     9     0     0     0     0
you              3622   36     1     2     0     0     0  3618     0     1     0     0     0
which            3551   37     0     0  3549     0     0     2     0     0     0     0     0
one              3355   37   681     0     0     0     0   171     1     0  2502     0     0
were             3305   37     0  3305     0     0     0     0     0     0     0     0     0
her              3036   38     0     0     0     0     0  3036     0     0     0     0     0
all              2995   38     2     1  2806     0     0     0     0   186     0     0     0
She              2986   38     0     0     0     0     0  2986     0     0     0     0     0
would            2843   38     0  2843     0     0     0     0     0     0     0     0     0
We               2841   39     1     1     0     0     0  2839     0     0     0     0     0
There            2838   39     0     0     0     0     0     0     0  2836     0     0     2
their            2668   39     1     0     0     0     0  2667     0     0     0     0     0
him              2617   40     6     0     0     0     0  2611     0     0     0     0     0
been             2471   40     1  2470     0     0     0     0     0     0     0     0     0
has              2454   40     4  2450     0     0     0     0     0     0     0     0     0
when             2321   40     2     0     0     2     0     0     0  2317     0     0     0
who              2280   40     1     0     0     0     0  2279     0     0     0     0     0
will             2225   41    93  2132     0     0     0     0     0     0     0     0     0
more             2223   41    28     0     0     0   818     0     0  1377     0     0     0
if               2193   41     0     0     0  2193     0     0     0     0     0     0     0
No               2136   41    49     0  1710     0     0     0     0   242     0     0   135
out              2094   42     2     0     0  1200     6     0     0   886     0     0     0
n't              2085   42     1     0     0     0     0     0     0  2084     0     0     0
can              2030   42     8  2022     0     0     0     0     0     0     0     0     0
so               1983   42     1     0     0   429     0     0    86  1464     0     0     3
what             1963   42     4     0   159     0     0  1800     0     0     0     0     0
said             1961   43     0  1958     0     0     3     0     0     0     0     0     0
up               1888   43     2     1     0   915     1     0     0   969     0     0     0
its              1854   43     1     0     0     0     0  1853     0     0     0     0     0
do               1845   43     5  1840     0     0     0     0     0     0     0     0     0
about            1814   43     1     0     0  1782     0     0     0    31     0     0     0
into             1789   43     0     0     0  1787     0     0     0     2     0     0     0
than             1789   44     0     0     0  1789     0     0     0     0     0     0     0
them             1789   44     0     0     9     0     0  1780     0     0     0     0     0
could            1775   44     0  1775     0     0     0     0     0     0     0     0     0
Only             1743   44     0     0     0     1   362     0     0  1380     0     0     0
other            1706   44     6     0     0     0  1700     0     0     0     0     0     0
new              1633   44   546     0     0     0  1087     0     0     0     0     0     0
some             1617   45     1     0  1607     0     0     0     0     9     0     0     0
time             1596   45  1596     0     0     0     0     0     0     0     0     0     0
These            1573   45     0     0  1573     0     0     0     0     0     0     0     0
did              1441   45     0  1441     0     0     0     0     0     0     0     0     0
two              1409   45     2     0     0     0     0     0     0     0  1407     0     0
may              1400   45    96  1304     0     0     0     0     0     0     0     0     0
Then             1377   46     0     0     0     1     2     0     0  1374     0     0     0
first            1359   46    27     0     0     0  1041     0     0   287     4     0     0
any              1338   46     0     0  1313     0     0     0     0    25     0     0     0
my               1318   46     6     0     0     0     0  1310     0     0     0     0     2
now              1311   46     1     0     0     0     0     0     0  1309     0     0     1
such             1301   46     1     0   291     0  1009     0     0     0     0     0     0
like             1291   46     1   188     0  1053    48     0     0     1     0     0     0
our              1252   46     3     0     0     0     0  1249     0     0     0     0     0
over             1239   47     3     0     0  1075     2     0     0   159     0     0     0
man              1208   47  1197     2     0     0     1     0     0     0     0     0     8
me               1183   47     6     0     0     0     0  1177     0     0     0     0     0
Even             1166   47     0     6     0     0    28     0     0  1132     0     0     0
most             1155   47     1     0     0     0   431     0     0   723     0     0     0
made             1124   47     0  1124     0     0     0     0     0     0     0     0     0
A[fj]            1099   47     0     0     0     0     0     0     0     0     0  1099     0
after            1068   47     0     0     0  1061     0     0     0     7     0     0     0
also             1067   47     0     0     0     0     0     0     0  1067     0     0     0
many             1030   48     1     0    33     0   985     0     0    11     0     0     0
must             1020   48     3  1016     0     0     1     0     0     0     0     0     0
before           1015   48     1     0     0   924     0     0     0    90     0     0     0
through           969   48     2     0     0   944     3     0     0    20     0     0     0
back              966   48   161    12     0     2    34     0     0   757     0     0     0
years             949   48   949     0     0     0     0     0     0     0     0     0     0
where             946   48     6     0     0     0     0     0     0   940     0     0     0
